"t","i2o"
0,0.000849504146384421
1,0.00575887259541458
2,0.0196264816622108
3,0.0433703651282296
4,0.0698734026445777
5,0.0915667103963191
6,0.103428189172384
7,0.105383523812619
8,0.0985712860367732
9,0.0880136458206331
10,0.0753740362356558
11,0.0623231713951327
12,0.0503394070453142
13,0.0401440810995052
14,0.0318044912994046
15,0.0248828658138789
16,0.0190066495018253
17,0.014683317275257
18,0.0113453521791002
19,0.00863027817203091
20,0.00654083374069452
21,0.00513473732041336
22,0.00385379245670733
23,0.00289390207468204
24,0.00233693633196117
25,0.00183846381291293
26,0.00141506875273731
27,0.00108616216201631
28,0.000904752543394169
29,0.000757363263699856
30,0.00057905638402194
31,0.000545909090084045
32,0.000498924689272652
33,0.000410671441685563
34,0.000382848503245126
35,0.000386632665002655
36,0.000367509077915252
37,0.000337675307797196
38,0.000307423659045349
39,0.000271976685878732
40,0.000247556511919442
41,0.00022467236773958
42,0.000202577193073013
43,0.000211227590120348
44,0.000171049905258868
45,0.000145523861187625
46,0.000124982749955651
47,0.000125923716892582
48,9.37276555616554e-05
49,8.83795180767014e-05
50,8.78736908623638e-05
51,9.44231155431629e-05
52,9.3955734272508e-05
53,8.21575033289632e-05
54,8.43641645387047e-05
55,9.15131223732044e-05
56,8.6681643272523e-05
57,9.25135951474795e-05
58,7.70496739706424e-05
59,7.99483271643096e-05
60,0.000100152338220279
61,8.38667889031105e-05
62,9.98903774362535e-05
63,9.87636939928315e-05
64,7.82100317300235e-05
65,9.94846550514008e-05
66,9.64423498987934e-05
67,8.94898901569107e-05
68,8.73164034287181e-05
69,8.27806406861556e-05
70,7.87642387779781e-05
71,6.83743508697517e-05
72,6.62726754326689e-05
73,5.19366307015923e-05
74,4.17101551676154e-05
75,3.17764863041191e-05
76,2.80102439730976e-05
77,3.14143122138329e-05
78,2.6497244352927e-05
79,1.63074296105954e-05
80,1.56083967331897e-05
81,1.30908521314017e-05
82,8.92881326745072e-06
83,5.96924184014366e-06
84,4.60215426597368e-06
85,6.3734911856699e-06
86,1.38490601592704e-05
87,1.23736023726471e-05
88,1.91955032372702e-05
89,1.67586487273405e-05
90,2.05924297183912e-05
91,1.64658497423422e-05
92,1.02086427631249e-05
93,1.14296675281256e-05
94,1.35216228780708e-05
95,1.12910187482145e-05
96,1.68922081551499e-05
97,2.20379540683155e-05
98,2.06259369208314e-05
99,2.2273657636149e-05
100,2.8077274935483e-05
